sensor_id,true_distance_cm,raw_measured_distance_cm,slope_m,intercept_b,r_squared,corrected_distance_cm,corrected_error_cm
U1,40.0,40.5,0.9986970423661071,0.5171862509991776,0.9998940789316225,40.0349776287249,0.03497762872490284
U1,40.0,40.8,0.9986970423661071,0.5171862509991776,0.9998940789316225,40.335369025989124,0.33536902598912377
U1,60.0,60.2,0.9986970423661071,0.5171862509991776,0.9998940789316225,59.76067938240876,-0.23932061759123968
U1,60.0,60.6,0.9986970423661071,0.5171862509991776,0.9998940789316225,60.16120124542772,0.1612012454277192
U1,80.0,79.9,0.9986970423661071,0.5171862509991776,0.9998940789316225,79.48638113609262,-0.5136188639073822
U1,80.0,80.4,0.9986970423661071,0.5171862509991776,0.9998940789316225,79.98703346486633,-0.012966535133671186
U1,100.0,100.3,0.9986970423661071,0.5171862509991776,0.9998940789316225,99.91299615005966,-0.08700384994034494
U1,100.0,101.1,0.9986970423661071,0.5171862509991776,0.9998940789316225,100.71403987609757,0.7140398760975728
U1,150.0,149.5,0.9986970423661071,0.5171862509991776,0.9998940789316225,149.17718530139192,-0.8228146986080844
U1,150.0,150.8,0.9986970423661071,0.5171862509991776,0.9998940789316225,150.47888135620357,0.47888135620357275
U1,200.0,199.2,0.9986970423661071,0.5171862509991776,0.9998940789316225,198.9420267814979,-1.0579732185020987
U1,200.0,201.0,0.9986970423661071,0.5171862509991776,0.9998940789316225,200.74437516508323,0.7443751650832269
U1,250.0,248.9,0.9986970423661071,0.5171862509991776,0.9998940789316225,248.7068682616039,-1.293131738396113
U1,250.0,251.4,0.9986970423661071,0.5171862509991776,0.9998940789316225,251.2101299054724,1.2101299054723995
U1,300.0,298.5,0.9986970423661071,0.5171862509991776,0.9998940789316225,298.37157927595507,-1.628420724044929
U1,300.0,302.1,0.9986970423661071,0.5171862509991776,0.9998940789316225,301.9762760431258,1.9762760431257789
U2,40.0,39.8,1.0002977617905677,-0.012669864108739878,0.9999683389385189,39.80081870106624,-0.1991812989337589
U2,40.0,40.3,1.0002977617905677,-0.012669864108739878,0.9999683389385189,40.3006698644888,0.3006698644888033
U2,60.0,59.7,1.0002977617905677,-0.012669864108739878,0.9999683389385189,59.694895005284216,-0.30510499471578356
U2,60.0,60.4,1.0002977617905677,-0.012669864108739878,0.9999683389385189,60.394686634075796,0.3946866340757964
U2,80.0,80.1,1.0002977617905677,-0.012669864108739878,0.9999683389385189,80.08882247292473,0.08882247292473266
U2,80.0,79.6,1.0002977617905677,-0.012669864108739878,0.9999683389385189,79.58897130950218,-0.4110286904978153
U2,100.0,99.9,1.0002977617905677,-0.012669864108739878,0.9999683389385189,99.88292854445821,-0.11707145554179021
U2,100.0,100.5,1.0002977617905677,-0.012669864108739878,0.9999683389385189,100.48274994056527,0.4827499405652702
U2,150.0,150.2,1.0002977617905677,-0.012669864108739878,0.9999683389385189,150.16795558476792,0.16795558476792394
U2,150.0,149.7,1.0002977617905677,-0.012669864108739878,0.9999683389385189,149.66810442134536,-0.33189557865463826
U2,200.0,200.4,1.0002977617905677,-0.012669864108739878,0.9999683389385189,200.35301239239314,0.35301239239313986
U2,200.0,199.5,1.0002977617905677,-0.012669864108739878,0.9999683389385189,199.45328029823253,-0.5467197017674721
U2,250.0,249.2,1.0002977617905677,-0.012669864108739878,0.9999683389385189,249.13848594243518,-0.8615140575648184
U2,250.0,250.8,1.0002977617905677,-0.012669864108739878,0.9999683389385189,250.7380096653874,0.7380096653874091
U2,300.0,301.0,1.0002977617905677,-0.012669864108739878,0.9999683389385189,300.92306647301257,0.9230664730125682
U2,300.0,299.4,1.0002977617905677,-0.012669864108739878,0.9999683389385189,299.32354275006037,-0.6764572499396309
U3,40.0,40.1,0.9988449240607516,0.30787370103916795,0.9999308555878182,39.838142378686804,-0.16185762131319592
U3,40.0,39.9,0.9988449240607516,0.30787370103916795,0.9999308555878182,39.63791109635029,-0.36208890364971325
U3,60.0,60.5,0.9988449240607516,0.30787370103916795,0.9999308555878182,60.261733177010996,0.26173317701099563
U3,60.0,59.8,0.9988449240607516,0.30787370103916795,0.9999308555878182,59.560923688833206,-0.4390763111667937
U3,80.0,80.2,0.9988449240607516,0.30787370103916795,0.9999308555878182,79.98451448715741,-0.015485512842587923
U3,80.0,80.7,0.9988449240607516,0.30787370103916795,0.9999308555878182,80.48509269299869,0.4850926929986912
U3,100.0,100.1,0.9988449240607516,0.30787370103916795,0.9999308555878182,99.90752707964032,-0.09247292035968258
U3,100.0,100.9,0.9988449240607516,0.30787370103916795,0.9999308555878182,100.70845220898637,0.7084522089863725
U3,150.0,149.8,0.9988449240607516,0.30787370103916795,0.9999308555878182,149.6650007402635,-0.3349992597364917
U3,150.0,150.4,0.9988449240607516,0.30787370103916795,0.9999308555878182,150.26569458727303,0.26569458727303186
U3,200.0,201.2,0.9988449240607516,0.30787370103916795,0.9999308555878182,201.124440300747,1.1244403007470112
U3,200.0,198.9,0.9988449240607516,0.30787370103916795,0.9999308555878182,198.82178055387715,-1.1782194461228528
U3,250.0,250.3,0.9988449240607516,0.30787370103916795,0.9999308555878182,250.28122011436065,0.2812201143606501
U3,250.0,249.1,0.9988449240607516,0.30787370103916795,0.9999308555878182,249.07983242034157,-0.9201675796584254
U3,300.0,298.8,0.9988449240607516,0.30787370103916795,0.9999308555878182,298.83730608096477,-1.1626939190352346
U3,300.0,301.5,0.9988449240607516,0.30787370103916795,0.9999308555878182,301.54042839250764,1.5404283925076356
U4,40.0,40.4,0.997961630695444,0.40065947242202504,0.9999439778821618,40.081040490207876,0.08104049020787585
U4,40.0,39.6,0.997961630695444,0.40065947242202504,0.9999439778821618,39.2794064640154,-0.7205935359845981
U4,60.0,60.1,0.997961630695444,0.40065947242202504,0.9999439778821618,59.82127838519766,-0.17872161480234183
U4,60.0,60.7,0.997961630695444,0.40065947242202504,0.9999439778821618,60.422503904842024,0.42250390484202427
U4,80.0,79.8,0.997961630695444,0.40065947242202504,0.9999439778821618,79.56151628018745,-0.4384837198125524
U4,80.0,80.3,0.997961630695444,0.40065947242202504,0.9999439778821618,80.06253754655775,0.06253754655774912
U4,100.0,100.4,0.997961630695444,0.40065947242202504,0.9999439778821618,100.20359245464377,0.2035924546437684
U4,100.0,101.0,0.997961630695444,0.40065947242202504,0.9999439778821618,100.80481797428813,0.8048179742881274
U4,150.0,150.6,0.997961630695444,0.40065947242202504,0.9999439778821618,150.50612759822178,0.5061275982217808
U4,150.0,149.2,0.997961630695444,0.40065947242202504,0.9999439778821618,149.10326805238492,-0.8967319476150806
U4,200.0,199.8,0.997961630695444,0.40065947242202504,0.9999439778821618,199.80662020905922,-0.1933797909407815
U4,200.0,200.7,0.997961630695444,0.40065947242202504,0.9999439778821618,200.70845848852574,0.7084584885257357
U4,250.0,251.1,0.997961630695444,0.40065947242202504,0.9999439778821618,251.21140213865186,1.211402138651863
U4,250.0,248.6,0.997961630695444,0.40065947242202504,0.9999439778821618,248.70629580680037,-1.2937041931996305
U4,300.0,300.2,0.997961630695444,0.40065947242202504,0.9999439778821618,300.4116904962152,0.4116904962152148
U4,300.0,299.1,0.997961630695444,0.40065947242202504,0.9999439778821618,299.3094437102006,-0.6905562897994173
U5,40.0,39.9,0.9996223021582735,0.22446043165466786,0.9999838687420958,39.69053059608845,-0.30946940391154953
U5,40.0,40.2,0.9996223021582735,0.22446043165466786,0.9999838687420958,39.99064394825384,-0.009356051746159721
U5,60.0,60.3,0.9996223021582735,0.22446043165466786,0.9999838687420958,60.09823854333471,0.09823854333470905
U5,60.0,59.9,0.9996223021582735,0.22446043165466786,0.9999838687420958,59.698087407114194,-0.30191259288580596
U5,80.0,80.0,0.9996223021582735,0.22446043165466786,0.9999838687420958,79.80568200219507,-0.1943179978049301
U5,80.0,80.5,0.9996223021582735,0.22446043165466786,0.9999838687420958,80.30587092247072,0.30587092247071723
U5,100.0,100.3,0.9996223021582735,0.22446043165466786,0.9999838687420958,100.1133521653862,0.1133521653862033
U5,100.0,100.8,0.9996223021582735,0.22446043165466786,0.9999838687420958,100.61354108566185,0.6135410856618506
U5,150.0,149.9,0.9996223021582735,0.22446043165466786,0.9999838687420958,149.73209305673004,-0.26790694326996345
U5,150.0,150.5,0.9996223021582735,0.22446043165466786,0.9999838687420958,150.3323197610608,0.33231976106080197
U5,200.0,200.1,0.9996223021582735,0.22446043165466786,0.9999838687420958,199.95106065240466,-0.04893934759533636
U5,200.0,199.8,0.9996223021582735,0.22446043165466786,0.9999838687420958,199.6509473002393,-0.34905269976070485
U5,250.0,249.7,0.9996223021582735,0.22446043165466786,0.9999838687420958,249.5698015437485,-0.4301984562515031
U5,250.0,250.4,0.9996223021582735,0.22446043165466786,0.9999838687420958,250.2700660321344,0.2700660321343946
U5,300.0,299.6,0.9996223021582735,0.22446043165466786,0.9999838687420958,299.48865578725776,-0.5113442127422445
U5,300.0,300.8,0.9996223021582735,0.22446043165466786,0.9999838687420958,300.6891091959193,0.6891091959192863
